id,uid,article_id,industry_id,created_at,updated_at,log_data
"208","csi_4MiBjTTFE2F5IjW","84","215","2021-07-26 07:41:13.424393","2021-07-26 07:41:13.424393","{""h"": [{""c"": {""id"": 208, ""uid"": ""csi_4MiBjTTFE2F5IjW"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.424393"", ""updated_at"": ""2021-07-26T07:41:13.424393"", ""industry_id"": 215}, ""v"": 1, ""ts"": 1627285273424}], ""v"": 1}"
"209","csi_S15K48knOw88mhr","84","247","2021-07-26 07:41:13.435603","2021-07-26 07:41:13.435603","{""h"": [{""c"": {""id"": 209, ""uid"": ""csi_S15K48knOw88mhr"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.435603"", ""updated_at"": ""2021-07-26T07:41:13.435603"", ""industry_id"": 247}, ""v"": 1, ""ts"": 1627285273436}], ""v"": 1}"
"210","csi_yLHBclbdIHgspgJ","84","662","2021-07-26 07:41:13.44988","2021-07-26 07:41:13.44988","{""h"": [{""c"": {""id"": 210, ""uid"": ""csi_yLHBclbdIHgspgJ"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.44988"", ""updated_at"": ""2021-07-26T07:41:13.44988"", ""industry_id"": 662}, ""v"": 1, ""ts"": 1627285273450}], ""v"": 1}"
"211","csi_kaUCEC7DyhP1XPR","84","248","2021-07-26 07:41:13.458209","2021-07-26 07:41:13.458209","{""h"": [{""c"": {""id"": 211, ""uid"": ""csi_kaUCEC7DyhP1XPR"", ""article_id"": 84, ""created_at"": ""2021-07-26T07:41:13.458209"", ""updated_at"": ""2021-07-26T07:41:13.458209"", ""industry_id"": 248}, ""v"": 1, ""ts"": 1627285273458}], ""v"": 1}"
"239","csi_Dwakb8nfYDfwdEC","96","586","2021-07-26 07:43:43.902795","2021-07-26 07:43:43.902795","{""h"": [{""c"": {""id"": 239, ""uid"": ""csi_Dwakb8nfYDfwdEC"", ""article_id"": 96, ""created_at"": ""2021-07-26T07:43:43.902795"", ""updated_at"": ""2021-07-26T07:43:43.902795"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1627285423903}], ""v"": 1}"
"240","csi_PgzJGqqj2Ul9M0W","96","240","2021-07-26 07:43:43.946612","2021-07-26 07:43:43.946612","{""h"": [{""c"": {""id"": 240, ""uid"": ""csi_PgzJGqqj2Ul9M0W"", ""article_id"": 96, ""created_at"": ""2021-07-26T07:43:43.946612"", ""updated_at"": ""2021-07-26T07:43:43.946612"", ""industry_id"": 240}, ""v"": 1, ""ts"": 1627285423947}], ""v"": 1}"
"241","csi_Z8cbuLvIwIgMWb1","96","589","2021-07-26 07:43:43.99026","2021-07-26 07:43:43.99026","{""h"": [{""c"": {""id"": 241, ""uid"": ""csi_Z8cbuLvIwIgMWb1"", ""article_id"": 96, ""created_at"": ""2021-07-26T07:43:43.99026"", ""updated_at"": ""2021-07-26T07:43:43.99026"", ""industry_id"": 589}, ""v"": 1, ""ts"": 1627285423990}], ""v"": 1}"
"1145","csi_K4fFO1nm2hKfWpe","311","392","2022-01-26 15:18:09.102711","2022-01-26 15:18:09.102711","{""h"": [{""c"": {""id"": 1145, ""uid"": ""csi_K4fFO1nm2hKfWpe"", ""article_id"": 311, ""created_at"": ""2022-01-26T15:18:09.102711"", ""updated_at"": ""2022-01-26T15:18:09.102711"", ""industry_id"": 392}, ""v"": 1, ""ts"": 1643210289103}], ""v"": 1}"
"1164","csi_Ct2H8xvXR47EqNo","344","266","2022-01-26 15:18:28.490016","2022-01-26 15:18:28.490016","{""h"": [{""c"": {""id"": 1164, ""uid"": ""csi_Ct2H8xvXR47EqNo"", ""article_id"": 344, ""created_at"": ""2022-01-26T15:18:28.490016"", ""updated_at"": ""2022-01-26T15:18:28.490016"", ""industry_id"": 266}, ""v"": 1, ""ts"": 1643210308490}], ""v"": 1}"
"1166","csi_3FuwwcC96ERuWIh","396","586","2022-01-26 15:18:31.02131","2022-01-26 15:18:31.02131","{""h"": [{""c"": {""id"": 1166, ""uid"": ""csi_3FuwwcC96ERuWIh"", ""article_id"": 396, ""created_at"": ""2022-01-26T15:18:31.02131"", ""updated_at"": ""2022-01-26T15:18:31.02131"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1643210311021}], ""v"": 1}"
"225","csi_SLbiT1f2M59kOO0","90","586","2021-07-26 07:43:38.307279","2021-07-26 07:43:38.307279","{""h"": [{""c"": {""id"": 225, ""uid"": ""csi_SLbiT1f2M59kOO0"", ""article_id"": 90, ""created_at"": ""2021-07-26T07:43:38.307279"", ""updated_at"": ""2021-07-26T07:43:38.307279"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1627285418307}], ""v"": 1}"
