id,uid,article_id,type,position,created_at,updated_at,log_data
"7045","css_Nc5fJzQbL0jacJ0","114","background","0","2022-01-25 13:04:31.061746","2022-01-25 13:04:31.061746","{""h"": [{""c"": {""id"": 7045, ""uid"": ""css_Nc5fJzQbL0jacJ0"", ""type"": ""background"", ""position"": 0, ""article_id"": 114, ""created_at"": ""2022-01-25T13:04:31.061746"", ""updated_at"": ""2022-01-25T13:04:31.061746""}, ""v"": 1, ""ts"": 1643115871062}], ""v"": 1}"
"4603","css_wDcYOnzyrjaB9hl","305","background","0","2021-11-11 12:50:05.430766","2021-11-11 12:50:05.430766","{""h"": [{""c"": {""id"": 4603, ""uid"": ""css_wDcYOnzyrjaB9hl"", ""type"": ""background"", ""position"": 0, ""article_id"": 305, ""created_at"": ""2021-11-11T12:50:05.430766"", ""updated_at"": ""2021-11-11T12:50:05.430766""}, ""v"": 1, ""ts"": 1636635005431}], ""v"": 1}"
"7046","css_hU9oYtLboEVi6xW","114","overview","1","2022-01-25 13:04:31.069443","2022-01-25 13:04:31.069443","{""h"": [{""c"": {""id"": 7046, ""uid"": ""css_hU9oYtLboEVi6xW"", ""type"": ""overview"", ""position"": 1, ""article_id"": 114, ""created_at"": ""2022-01-25T13:04:31.069443"", ""updated_at"": ""2022-01-25T13:04:31.069443""}, ""v"": 1, ""ts"": 1643115871069}], ""v"": 1}"
"7047","css_iFDadN0oBCjlFf3","114","outcome","2","2022-01-25 13:04:31.117591","2022-01-25 13:04:31.117591","{""h"": [{""c"": {""id"": 7047, ""uid"": ""css_iFDadN0oBCjlFf3"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 114, ""created_at"": ""2022-01-25T13:04:31.117591"", ""updated_at"": ""2022-01-25T13:04:31.117591""}, ""v"": 1, ""ts"": 1643115871118}], ""v"": 1}"
"7449","css_ZbDGaOiius1Cu4R","362","outcome","2","2022-01-26 15:18:35.460846","2022-01-26 15:18:35.460846","{""h"": [{""c"": {""id"": 7449, ""uid"": ""css_ZbDGaOiius1Cu4R"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 362, ""created_at"": ""2022-01-26T15:18:35.460846"", ""updated_at"": ""2022-01-26T15:18:35.460846""}, ""v"": 1, ""ts"": 1643210315461}], ""v"": 1}"
"7540","css_nBHm4QLDktamCps","404","background","0","2022-02-09 16:18:16.167691","2022-02-09 16:18:16.167691","{""h"": [{""c"": {""id"": 7540, ""uid"": ""css_nBHm4QLDktamCps"", ""type"": ""background"", ""position"": 0, ""article_id"": 404, ""created_at"": ""2022-02-09T16:18:16.167691"", ""updated_at"": ""2022-02-09T16:18:16.167691""}, ""v"": 1, ""ts"": 1644423496168}], ""v"": 1}"
"7541","css_BRRTZSvKHlTQBwW","404","overview","1","2022-02-09 16:18:16.175016","2022-02-09 16:18:16.175016","{""h"": [{""c"": {""id"": 7541, ""uid"": ""css_BRRTZSvKHlTQBwW"", ""type"": ""overview"", ""position"": 1, ""article_id"": 404, ""created_at"": ""2022-02-09T16:18:16.175016"", ""updated_at"": ""2022-02-09T16:18:16.175016""}, ""v"": 1, ""ts"": 1644423496175}], ""v"": 1}"
"7542","css_4jvSleOxCa2w0CO","404","outcome","2","2022-02-09 16:18:16.188315","2022-02-09 16:18:16.188315","{""h"": [{""c"": {""id"": 7542, ""uid"": ""css_4jvSleOxCa2w0CO"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 404, ""created_at"": ""2022-02-09T16:18:16.188315"", ""updated_at"": ""2022-02-09T16:18:16.188315""}, ""v"": 1, ""ts"": 1644423496188}], ""v"": 1}"
"6745","css_weh3ON7ITS5ezMW","336","background","0","2022-01-25 08:55:27.460864","2022-01-25 08:55:27.460864","{""h"": [{""c"": {""id"": 6745, ""uid"": ""css_weh3ON7ITS5ezMW"", ""type"": ""background"", ""position"": 0, ""article_id"": 336, ""created_at"": ""2022-01-25T08:55:27.460864"", ""updated_at"": ""2022-01-25T08:55:27.460864""}, ""v"": 1, ""ts"": 1643100927461}], ""v"": 1}"
"6746","css_Ez5PKVBdoGqEw96","336","overview","1","2022-01-25 08:55:27.479211","2022-01-25 08:55:27.479211","{""h"": [{""c"": {""id"": 6746, ""uid"": ""css_Ez5PKVBdoGqEw96"", ""type"": ""overview"", ""position"": 1, ""article_id"": 336, ""created_at"": ""2022-01-25T08:55:27.479211"", ""updated_at"": ""2022-01-25T08:55:27.479211""}, ""v"": 1, ""ts"": 1643100927479}], ""v"": 1}"
"6747","css_Ba23TPxUcmjmxOI","336","outcome","2","2022-01-25 08:55:27.504747","2022-01-25 08:55:27.504747","{""h"": [{""c"": {""id"": 6747, ""uid"": ""css_Ba23TPxUcmjmxOI"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 336, ""created_at"": ""2022-01-25T08:55:27.504747"", ""updated_at"": ""2022-01-25T08:55:27.504747""}, ""v"": 1, ""ts"": 1643100927505}], ""v"": 1}"
"6763","css_QDsS0JuDEbGV4rJ","248","background","0","2022-01-25 08:55:38.264527","2022-01-25 08:55:38.264527","{""h"": [{""c"": {""id"": 6763, ""uid"": ""css_QDsS0JuDEbGV4rJ"", ""type"": ""background"", ""position"": 0, ""article_id"": 248, ""created_at"": ""2022-01-25T08:55:38.264527"", ""updated_at"": ""2022-01-25T08:55:38.264527""}, ""v"": 1, ""ts"": 1643100938265}], ""v"": 1}"
"6764","css_FbG8SCJE7uMxSKp","248","overview","1","2022-01-25 08:55:38.276454","2022-01-25 08:55:38.276454","{""h"": [{""c"": {""id"": 6764, ""uid"": ""css_FbG8SCJE7uMxSKp"", ""type"": ""overview"", ""position"": 1, ""article_id"": 248, ""created_at"": ""2022-01-25T08:55:38.276454"", ""updated_at"": ""2022-01-25T08:55:38.276454""}, ""v"": 1, ""ts"": 1643100938276}], ""v"": 1}"
"6765","css_jOp2GegG8tIgcXP","248","outcome","2","2022-01-25 08:55:38.335644","2022-01-25 08:55:38.335644","{""h"": [{""c"": {""id"": 6765, ""uid"": ""css_jOp2GegG8tIgcXP"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 248, ""created_at"": ""2022-01-25T08:55:38.335644"", ""updated_at"": ""2022-01-25T08:55:38.335644""}, ""v"": 1, ""ts"": 1643100938336}], ""v"": 1}"
"7060","css_loHLVGkc4zEZxxr","78","background","0","2022-01-25 13:04:34.496997","2022-01-25 13:04:34.496997","{""h"": [{""c"": {""id"": 7060, ""uid"": ""css_loHLVGkc4zEZxxr"", ""type"": ""background"", ""position"": 0, ""article_id"": 78, ""created_at"": ""2022-01-25T13:04:34.496997"", ""updated_at"": ""2022-01-25T13:04:34.496997""}, ""v"": 1, ""ts"": 1643115874497}], ""v"": 1}"
"7061","css_Bze31ORfDzEuSvQ","78","overview","1","2022-01-25 13:04:34.502945","2022-01-25 13:04:34.502945","{""h"": [{""c"": {""id"": 7061, ""uid"": ""css_Bze31ORfDzEuSvQ"", ""type"": ""overview"", ""position"": 1, ""article_id"": 78, ""created_at"": ""2022-01-25T13:04:34.502945"", ""updated_at"": ""2022-01-25T13:04:34.502945""}, ""v"": 1, ""ts"": 1643115874503}], ""v"": 1}"
